Work Item Type,Title,Test Step,Step Action,Step Expected,COS Reference/Expected Results
Test Case,FUNC-01: Task Package Image Alignment,,,, 
, ,1,Create a task package with an associated image file,Image is properly aligned top center on the page,
, ,2,Verify image alignment in the task package,Image is not aligned to the bottom left of the page,
, ,3,Check image caption placement,Caption is listed below the image,
Test Case,FUNC-02: TOP Compilation Image Alignment,,,, 
, ,1,Create a TOP compilation with an associated image file,Image is properly aligned top center on the page,
, ,2,Verify image alignment in the TOP compilation,Image is not aligned to the bottom left of the page,
, ,3,Check image caption placement,Caption is listed below the image,
Test Case,VAL-01: Task Package Image Validation,,,, 
, ,1,Create a task package with an associated image file with incorrect orientation,Image is properly aligned top center on the page,
, ,2,Verify image alignment in the task package,Image is not aligned to the bottom left of the page,
, ,3,Check image caption placement,Caption is listed below the image,
Test Case,UI-01: Task Package Image Layout,,,, 
, ,1,Create a task package with an associated image file,Image is properly aligned top center on the page,
, ,2,Verify image layout in the task package,Image is not overlapping with other elements,
, ,3,Check image caption placement,Caption is listed below the image,
Test Case,NEG-01: Task Package Image Alignment Failure,,,, 
, ,1,Create a task package with an associated image file with incorrect orientation,Image is not properly aligned top center on the page,
, ,2,Verify image alignment in the task package,Image is aligned to the bottom left of the page,
, ,3,Check image caption placement,Caption is not listed below the image,
Test Case,REG-01: Existing Task Package Image Alignment,,,, 
, ,1,Create a task package with an associated image file using the existing process,Image is properly aligned top center on the page,
, ,2,Verify image alignment in the task package,Image is not aligned to the bottom left of the page,
, ,3,Check image caption placement,Caption is listed below the image,
Test Case,REG-02: Edited Task Package Image Alignment,,,, 
, ,1,Create a task package with an associated image file and edit the package,Image is properly aligned top center on the page,
, ,2,Verify image alignment in the task package,Image is not aligned to the bottom left of the page,
, ,3,Check image caption placement,Caption is listed below the image,
